-GPU,0x2D475055,https://cielab.xyz/spectralcalc.php
4d2p,0x34643270,Erdt Systems GmbH & Co KG
AAMA,0x41414D41,"Aamazing Technologies, Inc."
ACER,0x41434552,Acer Peripherals
ACLT,0x41434C54,Acolyte Color Research
ACTI,0x41435449,"Actix Systems, Inc."
ADAR,0x41444152,"Adara Technology, Inc."
ADBE,0x41444245,Adobe Systems Incorporated
ADI,0x41444920,"ADI Systems, Inc."
AGFA,0x41474641,Agfa Graphics N.V.
ALMD,0x414C4D44,"Alps Electric USA, Inc."
ALPS,0x414C5053,"Alps Electric USA, Inc."
ALWN,0x414C574E,Alwan Color Expertise
AMTI,0x414D5449,"Amiable Technologies, Inc."
AOC,0x414F4320,"AOC International (U.S.A.), Ltd."
APAG,0x41504147,Apago
APPL,0x4150504C,"Apple Computer, Inc."
AST,0x41535420,AST
AT&T,0x41542654,AT&T Computer Systems
BAEL,0x4241454C,BARBIERI electronic
berg,0x62657267,bergdesign incorporated
bICC,0x62494343,basICColor GmbH
BRCO,0x4252434F,Barco NV
BRKP,0x42524B50,Breakpoint Pty Limited
BRIT,0x42524554,"Brother Industries, LTD"
BULL,0x42554C4C,Bull
BUS,0x42555320,Bus Computer Systems Ltd.
C,0xIT-432D4954,C-Itoh
CAMR,0x43414D52,Intel Corporation
CANO,0x43414E4F,"Canon, Inc. (Canon Development Americas, Inc.)"
CARR,0x43415252,Carroll Touch
CASI,0x43415349,"Casio Computer Co., Ltd."
CBUS,0x43425553,Colorbus PL
CEL,0x43454C20,Crossfield
CELx,0x43454C78,Crossfield
ceyd,0x63657964,"Integrated Color Solutions, Inc."
CGS,0x43475320,CGS Publishing Technologies International GmbH
CHM,0x43484D20,Rochester Robotics
CIGL,0x4349474C,"Colour Imaging Group, London"
CITI,0x43495449,Citizen
CL00,0x434C3030,"Candela, Ltd."
CLIQ,0x434C4951,Color IQ
clsp,0x636C7370,"MacDermid ColorSpan, Inc."
CMCO,0x434D434F,"Chromaco, Inc."
CMiX,0x434D6958,CHROMiX
CoBa,0x436F4261,ColorBase BV
CoLg,0x436F4C67,ColorLogic GmbH
COLO,0x434F4C4F,Colorgraphic Communications Corporation
COMP,0x434F4D50,COMPAQ Computer Corporation
COMp,0x434F4D70,Compeq USA/Focus Technology
CONR,0x434F4E52,Conrac Display Products
CORD,0x434F5244,"Cordata Technologies, Inc."
CPP,0x43505020,Canon Production Printing Netherlands B.V.
CPQ,0x43505120,Compaq Computer Corporation
CPRO,0x4350524F,ColorPro
CRN,0x43524E20,Cornerstone
CTX,0x43545820,"CTX International, Inc."
CVIS,0x43564953,ColorVision
CWC,0x43574320,"Fujitsu Laboratories, Ltd."
DARI,0x44415249,"Darius Technology, Ltd."
DATA,0x44415441,Dataproducts
DCP,0x44435020,Dry Creek Photo
DCRC,0x44435243,"Digital Contents Resource Center, Chung-Ang University"
DELL,0x44454C4C,Dell Computer Corporation
DIC,0x44494320,Dainippon Ink and Chemicals
DICO,0x4449434F,Diconix
DIGI,0x44494749,Digital
DL&C,0x444C2643,Digital Light & Color
DNP,0x444E502E,"Dai Nippon Printing Co.,Ltd"
DPLG,0x44504C47,"Doppelganger, LLC"
DS,0x44532020,Dainippon Screen
ds,0x64732020,Dainippon Screen
DSOL,0x44534F4C,DOOSOL
DUPN,0x4455504E,DuPont
dupn,0x6475706E,DuPont
Eizo,0x45697A6F,EIZO NANAO CORPORATION
EPSO,0x4550534F,Epson
ESKO,0x45534B4F,Esko-Graphics
ETRI,0x45545249,Electronics and Telecommunications Research Institute
EVER,0x45564552,"Everex Systems, Inc."
EXAC,0x45584143,ExactCODE GmbH
