Vendor,Hex value,To hex
Sun Microsystems,00000000,0000005a
the imaging factory,33324254,
ICC,41324230,
ICC,41324231,
ICC,41324232,
Apple Computer,41413030,41413939
AGFA,41475054,
Amiable Technologies Inc.,414d3030,414d3939
"Adobe Systems, Inc.",41533030,
ICC,42324130,
ICC,42324131,
ICC,42324132,
ICC,42324430,
ICC,42324431,
ICC,42324432,
ICC,42324433,
BARCO,42445320,
BARCO,424b414c,
BARCO,42503250,
GretagMacbeth,43494544,
Canon,43505061,4350507a
X-Rite,43784620,
Datacolor,44433030,44433939
Dry Creek Photo,44435064,
Dry Creek Photo,44435069,
Dry Creek Photo,44435068,
Monaco Systems Inc.,44455644,
Monaco Systems Inc.,44455653,
Dupont,44555000,445550ff
ICC,44324230,
ICC,44324231,
ICC,44324232,
ICC,44324233,
GretagMacbeth,44657644,
Esko Graphics,45474244,
SEIKO EPSON,45503030,45503039
Color Solutions Software,45554C41,
FFEI Limited,46454930,46454939
FFEI Limited,46454941,4645495a
FFEI Limited,46454961,4645497a
Fujifilm Corporation,46462020,
FUJIFILM Business Innovation Corp.,46583030,46583939
Heidelberger Druckmaschinen AG,48443030,48443939
Hewlett Packard,48503030,48503939
ICC,49434335,
Kodak,4b303030,4b303939
Kodak,4b313030,4b313939
Kodak,4b434658,
Kodak,4b434758,
Kodak,4b435258,
Kodak,4b435358,
Kodak,4b6c7670,
"Studion Soft Industries, Ltd.",4b6d6f64,
Left Dakota,4c445354,
Left Dakota,4c4e4350,
Left Dakota,4c534554,
Left Dakota,4c535243,
SEIKO EPSON,4c555449,
Color Solutions Software,4d4f4754,
Color Solutions Software,4d4f5354,
Microsoft,4d533030,4d533939
Oce Technologies B.V.,4F434561,4F43457A
Onyx Graphics Corp.,4f4e5830,4f4e5839
Onyx Graphics Corp.,4f4e5841,4f4e585a
Onyx Graphics Corp.,4f4e5861,4f4e587a
Phase One A/S,50314D58,
Phase One A/S,50315054,
basICColor,50445354,
basICColor,50535243,
Polaroid,504f4c31,504f4c39
Polaroid,504f4c41,504f4c5a
PathQA Ltd,50514130,50514139
PathQA Ltd,50514141,5051415a
PathQA Ltd,50514161,5051417a
GretagMacbeth,506d7472,
"Studion Soft Industries, Ltd.",53414d64,
"Studion Soft Industries, Ltd.",53414d69,
"Studion Soft Industries, Ltd.",53414d6f,
CreoScitex,53433031,53433939
CreoScitex,53434954,
Sharp Labs,53483030,53483939
Sun Microsystems,00000000,0000005a
the imaging factory,33324254,
ICC,41324230,
ICC,41324231,
ICC,41324232,
Apple Computer,41413030,41413939
AGFA,41475054,
Amiable Technologies Inc.,414d3030,414d3939
"Adobe Systems, Inc.",41533030,
ICC,42324130,
ICC,42324131,
ICC,42324132,
ICC,42324430,
ICC,42324431,
ICC,42324432,
ICC,42324433,
BARCO,42445320,
BARCO,424b414c,
BARCO,42503250,
GretagMacbeth,43494544,
Canon,43505061,4350507a
X-Rite,43784620,
Datacolor,44433030,44433939
Dry Creek Photo,44435064,
Dry Creek Photo,44435069,
Dry Creek Photo,44435068,
Monaco Systems Inc.,44455644,
Monaco Systems Inc.,44455653,
Dupont,44555000,445550ff
ICC,44324230,
ICC,44324231,
ICC,44324232,
ICC,44324233,
GretagMacbeth,44657644,
Esko Graphics,45474244,
SEIKO EPSON,45503030,45503039
Color Solutions Software,45554C41,
FFEI Limited,46454930,46454939
FFEI Limited,46454941,4645495a
FFEI Limited,46454961,4645497a
Fujifilm Corporation,46462020,
FUJIFILM Business Innovation Corp.,46583030,46583939
Heidelberger Druckmaschinen AG,48443030,48443939
Hewlett Packard,48503030,48503939
ICC,49434335,
Dainippon Screen,53503030,53593939
Datacolor,54435074,
the imaging factory,54463030,54463939
Tektronix,544b0000,544b00ff
Tektronix,546b0000,546b00ff
Ware To Go,57544720,
Ware To Go,57544730,57544739
Ware To Go,57544741,5754475A
Ware To Go,57544761,5754477A
